datetime,symbol,open,high,low,close,volume,Target
2023-03-16 07:30:00,OANDA:XAUUSD,1911.155,1911.855,1909.47,1910.355,1222.0,0
2023-03-16 08:00:00,OANDA:XAUUSD,1910.355,1911.67,1909.9,1911.515,1176.0,0
2023-03-16 08:30:00,OANDA:XAUUSD,1911.515,1913.23,1910.73,1913.125,1011.0,0
2023-03-16 09:00:00,OANDA:XAUUSD,1913.125,1914.99,1912.035,1913.3,978.0,0
2023-03-16 09:30:00,OANDA:XAUUSD,1913.3,1914.985,1913.125,1913.72,1035.0,0
2023-03-16 10:00:00,OANDA:XAUUSD,1913.72,1914.055,1912.82,1913.39,430.0,0
2023-03-16 10:30:00,OANDA:XAUUSD,1913.39,1916.635,1912.395,1915.7,1519.0,0
2023-03-16 11:00:00,OANDA:XAUUSD,1915.7,1920.315,1915.53,1919.96,1629.0,1
2023-03-16 11:30:00,OANDA:XAUUSD,1919.96,1920.43,1914.575,1915.96,1595.0,0
2023-03-16 12:00:00,OANDA:XAUUSD,1915.96,1918.43,1915.125,1916.69,1289.0,0
2023-03-16 12:30:00,OANDA:XAUUSD,1916.69,1916.84,1912.485,1914.725,3214.0,0
2023-03-16 13:00:00,OANDA:XAUUSD,1914.725,1920.755,1914.725,1916.775,3723.0,0
2023-03-16 13:30:00,OANDA:XAUUSD,1916.775,1922.615,1915.825,1920.1,3776.0,0
2023-03-16 14:00:00,OANDA:XAUUSD,1920.1,1920.385,1916.535,1919.1,2271.0,0
2023-03-16 14:30:00,OANDA:XAUUSD,1919.1,1922.135,1918.755,1918.835,2354.0,0
2023-03-16 15:00:00,OANDA:XAUUSD,1918.835,1922.145,1917.735,1921.865,1504.0,0
2023-03-16 15:30:00,OANDA:XAUUSD,1921.865,1922.735,1920.34,1920.69,1122.0,0
2023-03-16 16:00:00,OANDA:XAUUSD,1920.69,1923.095,1918.77,1922.725,1085.0,0
2023-03-16 16:30:00,OANDA:XAUUSD,1922.725,1924.865,1922.285,1923.835,1451.0,0
2023-03-16 17:00:00,OANDA:XAUUSD,1923.835,1927.095,1923.78,1927.005,1442.0,1
2023-03-16 17:30:00,OANDA:XAUUSD,1927.005,1931.65,1925.75,1929.455,2498.0,1
2023-03-16 18:00:00,OANDA:XAUUSD,1929.455,1931.915,1924.455,1930.445,5386.0,1
2023-03-16 18:30:00,OANDA:XAUUSD,1930.445,1933.54,1926.635,1930.685,3742.0,1
2023-03-16 19:00:00,OANDA:XAUUSD,1930.685,1931.265,1923.305,1923.855,5856.0,1
2023-03-16 19:30:00,OANDA:XAUUSD,1923.855,1930.375,1923.47,1926.4,4683.0,1
2023-03-16 20:00:00,OANDA:XAUUSD,1926.4,1932.41,1919.785,1922.625,3948.0,1
2023-03-16 20:30:00,OANDA:XAUUSD,1922.625,1924.355,1915.345,1918.62,4067.0,1
2023-03-16 21:00:00,OANDA:XAUUSD,1918.62,1921.165,1913.43,1918.75,3562.0,1
2023-03-16 21:30:00,OANDA:XAUUSD,1918.75,1919.535,1915.22,1918.035,2285.0,0
2023-03-16 22:00:00,OANDA:XAUUSD,1918.035,1920.455,1914.42,1914.93,2042.0,0
2023-03-16 22:30:00,OANDA:XAUUSD,1914.93,1919.93,1914.64,1918.335,1750.0,0
2023-03-16 23:00:00,OANDA:XAUUSD,1918.335,1919.65,1914.77,1916.345,1585.0,0
2023-03-16 23:30:00,OANDA:XAUUSD,1916.345,1919.9,1916.33,1918.34,906.0,0
2023-03-17 00:00:00,OANDA:XAUUSD,1918.34,1921.12,1917.84,1918.445,1400.0,0
2023-03-17 00:30:00,OANDA:XAUUSD,1918.445,1921.215,1918.345,1919.915,1178.0,0
2023-03-17 01:00:00,OANDA:XAUUSD,1919.915,1920.735,1919.075,1920.625,925.0,0
2023-03-17 01:30:00,OANDA:XAUUSD,1920.625,1920.835,1918.57,1919.34,504.0,0
2023-03-17 02:00:00,OANDA:XAUUSD,1919.34,1920.01,1918.81,1919.34,805.0,0
2023-03-17 03:30:00,OANDA:XAUUSD,1919.34,1920.645,1919.28,1920.445,363.0,0
2023-03-17 04:00:00,OANDA:XAUUSD,1920.445,1920.5,1919.275,1920.1,440.0,0
2023-03-17 04:30:00,OANDA:XAUUSD,1920.1,1920.66,1919.625,1920.53,559.0,0
2023-03-17 05:00:00,OANDA:XAUUSD,1920.53,1922.145,1920.53,1921.44,535.0,0
2023-03-17 05:30:00,OANDA:XAUUSD,1921.44,1922.48,1920.5,1920.635,1266.0,0
